瘤痢,斥档,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,辑府,辑府,辑府,辑府,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅
冕玫,2006, , ,2006-08-20, , , ,2006-10-15, ,2006-10-30, , , , , , , ,2006-10-12, ,2006-10-27, , , , , , , ,2006-11-10, ,2007-04-05, , , , , , , 
冕玫,2007, , ,2007-08-19, , , ,2007-10-12, ,2007-10-30, , , , , , , ,2007-10-10, ,2007-10-25, , , , , , , ,2007-10-21, ,2008-04-04, , , , , , , 
冕玫,2008, , ,2008-09-02, , , ,2008-10-14, ,2008-10-30, , , , , , , ,2008-10-13, ,2008-10-30, , , , , , , ,2008-10-25, ,2009-04-23, , , , , , , 
冕玫,2009, , ,2009-08-24, , , ,2009-10-16, ,2009-10-29, , , , , , , ,2009-10-15, ,2009-10-28, , , , , , , ,2009-10-22, ,2010-04-16, , , , , , , 
冕玫,2010, , ,2010-08-02, , , ,2010-10-13, ,2010-10-25, , , , , , , ,2010-10-13, ,2010-10-23, , , , , , , ,2010-10-27, ,2011-04-29, , , , , , , 
冕玫,2011, , ,2011-09-01, , , ,2011-10-12, ,2011-10-26, , , , , , , ,2011-10-11, ,2011-10-23, , , , , , , ,2011-10-03, ,2012-04-06, , , , , , , 
冕玫,2012, , ,2012-09-05, , , ,2012-10-14, ,2012-10-26, , , , , , , ,2012-10-15, ,2012-10-24, , , , , , , ,2012-10-15, ,2013-04-22, , , , , , , 
冕玫,2013, , ,2013-09-01, , , ,2013-10-23, ,2013-11-03, , , , , , , ,2013-10-21, ,2013-11-03, , , , , , , ,2013-10-25, ,2014-04-07, , , , , , , 
冕玫,2014, , ,2014-08-08, , , ,2014-10-28, , , , , , , , , ,2014-10-19, , , , , , , , , ,2014-10-17, ,2015-04-18, , , , , , , 
冕玫,2015, , ,2015-09-07, , , ,2015-10-28, ,2015-11-06, , , , , , , ,2015-10-30, ,2015-11-13, , , , , , , ,2015-10-13, ,2016-04-05, , , , , , , 
冕玫,2016, , ,2016-07-20, ,2016-09-27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
怕归,2004,2004-04-26,-23老,2004-08-01,2老, , ,2004-10-10,4老,2004-10-17,0老, , , , , , ,2004-10-05,-2老,2004-10-15,-1老, , , , , , ,2004-10-03,-9老,2005-04-24,-6老,2004-09-30,-1老, , ,2004-10-12,-2老
怕归,2005,2005-05-04,-15老,2005-07-29,-1老, , ,2005-10-14,8老,2005-10-20,3老, , , , , , ,2005-10-11,4老,2005-10-17,1老, , , , , , ,2005-10-05,-7老,2006-05-03,3老,2005-10-03,2老, , ,2005-10-19,5老
怕归,2006, , ,2006-08-10,11老, , ,2006-10-15,9老,2006-10-20,3老, , , , , , ,2006-10-15,8老,2006-10-20,4老, , , , , , ,2006-10-28,16老,2007-04-09,-21老,2006-09-29,-2老, , ,2006-10-19,5老
怕归,2007,2007-05-20,1老,2007-08-13,14老, , ,2007-10-18,12老,2007-10-23,6老, , , , , , ,2007-10-21,14老,2007-10-23,7老, , , , , , ,2007-10-28,16老,2008-04-28,-2老,2007-10-07,6老, , ,2007-10-24,10老
怕归,2008, , ,2008-08-07,8老, , ,2008-10-15,9老,2008-10-20,3老, , , , , , ,2008-10-18,11老, , , , , , , , ,2008-10-12,0老, , ,2008-10-06,5老, , ,2008-10-18,4老
全玫,2004,2004-05-03,-3老,2004-08-10,-7老, , ,2004-10-16,3老,2004-10-24,-2老, , , , , , ,2004-10-18,7老,2004-10-25,0老, , , , , , ,2004-10-13,-9老,2005-04-17,3老, , , , , , 
全玫,2005, , ,2005-08-18,1老, , ,2005-10-18,5老, , , , , , , , ,2005-10-21,10老, , , , , , , , ,2005-10-23,1老,2006-04-01,-13老, , , , , , 
全玫,2006, , ,2006-08-12,-5老, , ,2006-10-16,3老,2006-10-25,-1老, , , , , , ,2006-10-20,9老,2006-10-29,4老, , , , , , ,2006-10-31,9老,2007-04-09,-5老, , , , , , 
全玫,2007, , , , , , ,2007-10-26,13老,2007-11-08,13老, , , , , , ,2007-10-20,9老,2007-11-02,8老, , , , , , ,2007-10-21,-1老, , , , , , , , 
全玫,2008, , , , , , , , , , , , , , , , , , , , , , , , , , ,2008-10-27,5老, , , , , , , , 
悼滴玫,2004,2004-05-14, ,2004-08-11,2老, , ,2004-10-12,-7老,2004-10-19,-8老, , , , , , ,2004-10-11,-10老,2004-10-21,-8老, , , , , , ,2004-10-03,-18老,2005-04-16,4老, , , , , , 
悼滴玫,2005, , ,2005-08-14,5老, , ,2005-10-17,-2老,2005-10-28,1老, , , , , , ,2005-10-15,-6老,2005-10-26,-3老, , , , , , ,2005-10-22,1老,2006-03-31,-12老, , , , , , 
悼滴玫,2006, , ,2006-08-21,12老, , ,2006-10-28,9老,2006-11-06,10老, , , , , , ,2006-10-25,4老,2006-11-05,7老, , , , , , ,2006-10-30,9老,2007-04-09,-3老, , , , , , 
悼滴玫,2007, , ,2007-07-23,-17老, , ,2007-10-18,-1老,2007-10-26,-1老, , , , , , ,2007-10-20,-1老,2007-10-27,-2老, , , , , , ,2007-10-21,0老,2008-04-28,16老, , , , , , 
悼滴玫,2008, , ,2008-07-07,-33老, , ,2008-10-19,0老,2008-10-26,-1老, , , , , , ,2008-10-20,-1老,2008-10-27,-2老, , , , , , ,2008-11-04,14老,2009-03-29,-14老, , , , , , 
悼滴玫,2009, , ,2009-08-21,12老, , ,2009-10-15,-4老,2009-10-22,-5老, , , , , , ,2009-10-12,-9老,2009-10-22,-7老, , , , , , ,2009-11-02,12老,2010-04-16,4老, , , , , , 
悼滴玫,2010, , ,2010-07-26,-14老, , ,2010-10-19,0老,2010-10-30,3老, , , , , , ,2010-10-26,5老,2010-11-03,5老, , , , , , ,2010-10-27,6老,2011-03-31,-12老, , , , , , 
悼滴玫,2011, , ,2011-08-01,-8老, , ,2011-10-17,-2老,2011-10-24,-3老, , , , , , ,2011-10-21,0老,2011-10-31,2老, , , , , , ,2011-10-18,-3老,2012-04-08,-4老, , , , , , 
悼滴玫,2012, , ,2012-09-07,29老, , ,2012-10-26,7老,2012-10-30,3老, , , , , , ,2012-10-29,8老,2012-11-03,5老, , , , , , ,2012-10-18,-3老,2013-04-15,3老, , , , , , 
悼滴玫,2013, , ,2013-09-16,38老, , ,2013-10-21,2老,2013-10-28,1老, , , , , , ,2013-10-23,2老,2013-10-28,-1老, , , , , , ,2013-10-17,-4老,2014-04-06,-6老, , , , , , 
悼滴玫,2014, , ,2014-08-25,16老, , ,2014-10-20,1老,2014-10-31,4老, , , , , , ,2014-10-23,2老,2014-11-05,7老, , , , , , ,2014-10-28,7老, , , , , , , , 
荐盔,2004,2004-05-19,23老,2004-08-29,-1老, , ,2004-10-26,4老,2004-11-08,7老, , , , , , ,2004-10-25,4老,2004-11-09,7老, , , , , , ,2004-11-07,10老,2005-04-04,-2老, , , , , , 
荐盔,2005,2005-05-17,21老,2005-09-01,2老, , ,2005-10-24,2老,2005-11-03,2老, , , , , , ,2005-10-22,1老,2005-11-02,0老, , , , , , ,2005-10-23,-5老,2006-03-21,-16老, , , , , , 
荐盔,2006,2006-05-10,14老,2006-09-03,4老, , ,2006-10-26,4老,2006-11-04,3老, , , , , , ,2006-10-29,8老,2006-11-10,8老, , , , , , ,2006-11-07,10老,2007-04-05,-1老, , , , , , 
荐盔,2007,2007-05-03,7老,2007-09-10,11老, , ,2007-10-22,0老,2007-11-03,2老, , , , , , ,2007-11-05,15老,2007-11-13,11老, , , , , , ,2007-11-04,7老,2008-03-28,-9老, , , , , , 
荐盔,2008, , ,2008-08-30,0老, , ,2008-10-18,-4老,2008-10-27,-5老, , , , , , ,2008-10-28,7老,2008-11-02,0老, , , , , , ,2008-11-04,7老,2009-04-02,-4老, , , , , , 
荐盔,2009,2009-03-13,-44老,2009-08-26,-4老, , ,2009-10-20,-2老,2009-11-01,0老, , , , , , ,2009-10-20,-1老,2009-11-01,-1老, , , , , , ,2009-11-18,21老,2010-04-17,11老, , , , , , 
荐盔,2010, , ,2010-08-17,-13老, , ,2010-10-18,-4老,2010-11-07,6老, , , , , , ,2010-10-19,-2老,2010-11-07,5老, , , , , , ,2010-10-27,-1老,2011-04-01,-5老, , , , , , 
荐盔,2011, , ,2011-08-20,-10老, , ,2011-10-22,0老,2011-10-29,-3老, , , , , , ,2011-10-20,-1老,2011-10-29,-4老, , , , , , ,2011-10-18,-10老,2012-04-06,0老, , , , , , 
荐盔,2012, , ,2012-08-20,-10老, , ,2012-10-27,5老,2012-11-05,4老, , , , , , ,2012-10-16,-5老,2012-10-25,-8老, , , , , , ,2012-10-31,3老,2013-04-08,2老, , , , , , 
荐盔,2013, , ,2013-08-19,-11老, , ,2013-11-05,14老,2013-11-13,12老, , , , , , ,2013-10-24,3老,2013-11-05,3老, , , , , , ,2013-10-27,-1老,2014-03-24,-13老, , , , , , 
荐盔,2014, , ,2014-08-10,-20老, , ,2014-10-22,0老,搬螟,—, , , , , , ,2014-10-14,-7老,搬螟,—, , , , , , ,2014-10-28,0老,2015-03-28,-9老, , , , , , 
荐盔,2015, , ,2015-09-02,3老,2015-09-10,-7老,2015-10-20,-2老,2015-11-09,8老, , , , , , ,2015-10-15,-6老,2015-11-09,7老, , , , , , ,2015-10-31,3老,2016-03-28,-9老, , , , , , 
荐盔,2016, , ,2016-09-05,6老,2016-09-20,3老,2016-10-28,6老,2016-11-03,2老, , , , , , ,2016-10-22,1老,2016-10-30,-3老, , , , , , ,2016-10-30,2老,2017-04-13,7老, , , , , , 
荐盔,2017, , ,2017-09-07,8老,2017-09-21,4老,2017-10-27,5老,2017-11-02,1老, , , , , , ,2017-10-24,3老,2017-10-31,-2老, , , , , , ,2017-10-30,2老,2018-04-18,12老, , , , , , 
荐盔,2018, , ,2018-09-11,12老,2018-09-24,7老,2018-10-22,0老,2018-10-28,-4老, , , , , , ,2018-10-21,0老,2018-10-28,-5老, , , , , , ,2018-10-12,-16老,2019-04-15,9老, , , , , , 
荐盔,2019, , ,2019-09-12,13老,2019-09-19,2老,2019-10-20,-2老,2019-11-01,0老, , , , , , ,2019-10-18,-3老,2019-10-29,-4老, , , , , , ,2019-10-27,-1老,2020-04-24,18老, , , , , , 
荐盔,2020, , ,2020-09-06,7老,2020-09-19,2老,2020-10-26,4老,2020-11-09,8老, , , , , , ,2020-10-23,2老,2020-11-09,7老, , , , , , ,2020-10-24,-4老,2021-04-11,5老, , , , , , 
荐盔,2021, , ,2021-09-09,10老,2021-09-21,4老,2021-10-30,8老,2021-11-05,4老, , , , , , ,2021-10-26,5老,2021-11-03,1老, , , , , , ,2021-10-18,-10老,2022-04-08,2老, , , , , , 
荐盔,2022, , ,2022-09-14,15老,2022-09-28,11老,2022-10-26,4老,2022-11-02,1老, , , , , , ,2022-10-23,2老,2022-11-05,3老, , , , , , ,2022-10-19,-9老,2023-04-12,6老, , , , , , 
荐盔,2023, , ,2023-09-08,9老,2023-09-21,4老,2023-10-27,5老,2023-11-04,3老, , , , , , ,2023-10-28,7老,2023-11-18,16老, , , , , , ,2023-11-08,11老,2024-03-31,-6老, , , , , , 
剧乞,2004, , ,2004-07-02,-35老, , ,2004-10-15,-3老,2004-10-23,-4老, , , , , , ,2004-10-12,-5老,2004-10-21,-5老, , , , , , ,2004-10-13,-8老,2005-04-17,0老, , , , , , 
剧乞,2005, , ,2005-07-12,-25老, , ,2005-10-21,3老,2005-10-29,2老, , , , , , ,2005-10-20,3老,2005-10-28,2老, , , , , , ,2005-10-22,1老,2006-04-03,-14老, , , , , , 
剧乞,2006, , ,2006-07-04,-33老, , ,2006-10-20,2老,2006-10-26,-1老, , , , , , ,2006-10-23,6老,2006-10-29,3老, , , , , , ,2006-11-06,16老,2007-04-09,-8老, , , , , , 
剧乞,2007, , ,2007-07-03,-34老, , ,2007-10-23,5老,2007-10-30,3老, , , , , , ,2007-10-24,7老,2007-10-31,5老, , , , , , ,2007-10-21,0老,2008-04-05,-12老, , , , , , 
剧乞,2008, , ,2008-07-08,-29老, , ,2008-10-22,4老,2008-10-29,2老, , , , , , ,2008-10-26,9老,2008-11-03,8老, , , , , , ,2008-10-28,7老, , , , , , , , 
捞玫,2004, , ,2004-08-20,0老, , ,2004-10-12,-4老,2004-10-25,-1老, , , , , , ,2004-10-10,-9老,2004-10-18,-9老, , , , , , ,2004-10-13,-7老,2005-04-28,14老, , , , , , 
捞玫,2005, , ,2005-09-05,16老, , ,2005-10-20,4老,2005-10-27,1老, , , , , , ,2005-10-21,2老,2005-10-28,1老, , , , , , ,2005-10-22,2老,2006-04-06,-8老, , , , , , 
捞玫,2006, , ,2006-07-29,-22老,2006-09-15, ,2006-10-18,2老,2006-10-26,0老, , , , , , ,2006-10-22,3老,2006-10-29,2老, , , , , , ,2006-11-07,18老,2007-04-09,-5老, , , , , , 
捞玫,2007, , ,2007-07-30,-21老, , ,2007-10-17,1老,2007-10-25,-1老, , , , , , ,2007-10-21,2老,2007-10-26,-1老, , , , , , ,2007-10-21,1老,2008-04-05,-9老, , , , , , 
捞玫,2008, , ,2008-08-25,5老, , ,2008-10-20,4老,2008-10-27,1老, , , , , , ,2008-10-23,4老,2008-10-28,1老, , , , , , ,2008-10-27,7老,2009-04-17,3老, , , , , , 
捞玫,2009, , ,2009-08-02,-18老, , ,2009-10-19,3老,2009-10-26,0老, , , , , , ,2009-10-20,1老,2009-10-28,1老, , , , , , ,2009-11-03,14老,2010-04-16,2老, , , , , , 
捞玫,2010, , ,2010-08-09,-11老, , ,2010-10-19,3老,2010-10-28,2老, , , , , , ,2010-10-20,1老,2010-10-28,1老, , , , , , ,2010-10-26,6老,2011-04-13,-1老, , , , , , 
捞玫,2011, , ,2011-08-26,6老, , ,2011-10-17,1老,2011-10-24,-2老, , , , , , ,2011-10-18,-1老,2011-10-24,-3老, , , , , , ,2011-10-02,-18老,2012-04-06,-8老, , , , , , 
捞玫,2012, , ,2012-08-21,1老, , ,2012-10-13,-3老,2012-10-26,0老, , , , , , ,2012-10-15,-4老,2012-10-26,-1老, , , , , , ,2012-10-12,-8老,2013-04-10,-4老, , , , , , 
捞玫,2013, , ,2013-08-23,3老, , ,2013-10-22,6老,2013-10-29,3老, , , , , , ,2013-10-19,0老,2013-10-28,1老, , , , , , ,2013-10-17,-3老,2014-04-05,-9老, , , , , , 
捞玫,2014, , ,2014-08-08,-12老, , ,2014-10-15,-1老,2014-10-24,-2老, , , , , , ,2014-10-18,-1老,2014-10-27,0老, , , , , , ,2014-10-17,-3老, , , , , , , , 
捞玫,2015, , , , , , , , , , , , , , , , , , , , , , , , , , ,包螟 救凳,—, , , , , , , , 
颇林,2004, , ,2004-08-23,-1老, , ,2004-09-21,-26老,2004-10-15,-12老, , , , , , ,2004-09-24,-24老,2004-10-17,-11老, , , , , , ,2004-10-03,-16老,2005-04-23,7老, , , , , , 
颇林,2005, , ,2005-09-01,8老, , ,2005-10-18,1老,2005-10-25,-2老, , , , , , ,2005-10-16,-2老,2005-10-23,-5老, , , , , , ,2005-10-22,3老,2006-03-31,-16老, , , , , , 
颇林,2006, , ,2006-08-25,1老, , ,2006-10-25,8老,2006-11-05,9老, , , , , , ,2006-10-27,9老,2006-11-07,10老, , , , , , ,2006-10-30,11老,2007-04-09,-7老, , , , , , 
颇林,2007, , ,2007-09-15,22老, , ,2007-10-22,5老,2007-10-28,1老, , , , , , ,2007-10-23,5老,2007-10-28,0老, , , , , , ,2007-10-20,1老,2008-04-04,-12老, , , , , , 
颇林,2008, , ,2008-09-19,26老, , ,2008-10-17,0老,2008-10-25,-2老, , , , , , ,2008-10-19,1老,2008-10-26,-2老, , , , , , ,2008-10-27,8老,2009-04-23,7老, , , , , , 
颇林,2009, , ,2009-08-24,0老, , ,2009-10-11,-6老,2009-10-19,-8老, , , , , , ,2009-10-12,-6老,2009-10-19,-9老, , , , , , ,2009-10-22,3老,2010-04-18,2老, , , , , , 
颇林,2010, , ,2010-08-13,-11老, , ,2010-10-17,0老,2010-10-29,2老, , , , , , ,2010-10-23,5老,2010-11-03,6老, , , , , , ,2010-10-27,8老,2011-04-17,1老, , , , , , 
颇林,2011, , ,2011-09-01,8老, , ,2011-10-18,1老,2011-10-28,1老, , , , , , ,2011-10-18,0老,2011-10-28,0老, , , , , , ,2011-10-02,-17老,2012-04-12,-4老, , , , , , 
颇林,2012, , ,2012-08-25,1老, , ,2012-10-22,5老,2012-10-29,2老, , , , , , ,2012-10-23,5老,2012-11-01,4老, , , , , , ,2012-10-12,-7老,2013-04-21,5老, , , , , , 
颇林,2013, , ,2013-08-20,-4老, , ,2013-10-22,5老,2013-11-02,6老, , , , , , ,2013-10-24,6老,2013-11-03,6老, , , , , , ,2013-10-25,6老,2014-04-08,-8老, , , , , , 
颇林,2014, , ,2014-08-25,1老, , ,2014-10-23,6老,2014-11-03,7老, , , , , , ,2014-10-25,7老,2014-11-05,8老, , , , , , ,2014-10-17,-2老,2015-04-18,2老, , , , , , 
颇林,2016, , , , , , , , , , , , , , , , , , , , , , , , , , ,包螟 救凳,—, , , , , , , , 
芭力,2004, , ,2004-09-20,6老, , ,2004-11-05,3老,2004-11-09,-5老, , , , , , ,2004-11-06,5老,2004-11-09,-7老, , , , , , ,2004-11-13,0老,2005-04-04,9老, , , , , , 
芭力,2005, , ,2005-09-22,8老, , ,2005-11-06,4老,2005-11-10,-4老, , , , , , ,2005-11-04,3老,2005-11-08,-8老, , , , , , ,2005-11-21,8老,2006-03-31,5老, , , , , , 
芭力,2006, , ,2006-09-14,0老, , ,2006-11-15,13老,2006-11-22,8老, , , , , , ,2006-11-12,11老,2006-11-20,4老, , , , , , ,2006-11-13,0老,2007-04-05,10老, , , , , , 
芭力,2007, , ,2007-09-10,-4老, , ,2007-11-14,12老,2007-11-20,6老, , , , , , ,2007-11-12,11老,2007-11-19,3老, , , , , , ,2007-11-17,4老,2008-04-01,6老, , , , , , 
芭力,2008, , ,2008-09-08,-6老, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
芭芒,2004,2004-04-08,-12老,2004-09-08,-1老, , ,2004-10-19,-4老,2004-10-25,-6老, , , , , , ,2004-10-21,-3老,2004-10-31,-3老, , , , , , ,2004-10-13,-5老,2005-04-23,0老, , , , , , 
芭芒,2005,2005-04-21,1老,2005-09-13,4老, , ,2005-10-25,2老,2005-11-01,1老, , , , , , ,2005-10-28,4老,2005-11-04,1老, , , , , , ,2005-10-23,5老,2006-04-03,-20老, , , , , , 
芭芒,2006, , ,2006-09-11,2老, , ,2006-10-30,7老,2006-11-06,6老, , , , , , ,2006-11-02,9老,2006-11-13,10老, , , , , , ,2006-11-06,19老,2007-04-10,-13老, , , , , , 
芭芒,2007, , ,2007-09-20,11老, , ,2007-10-30,7老,2007-11-05,5老, , , , , , ,2007-11-05,12老,2007-11-11,8老, , , , , , ,2007-10-21,3老,2008-04-28,5老, , , , , , 
芭芒,2008, , ,2008-09-11,2老, , ,2008-11-05,13老,2008-11-11,11老, , , , , , ,2008-11-07,14老,2008-11-13,10老, , , , , , ,2008-10-13,-5老,2009-04-28,5老, , , , , , 
芭芒,2009, , ,2009-08-28,-12老, , ,2009-10-28,5老,2009-11-06,6老, , , , , , ,2009-11-03,10老,2009-11-11,8老, , , , , , ,2009-10-21,3老,2010-05-01,8老, , , , , , 
芭芒,2010, , ,2010-09-08,-1老, , ,2010-10-26,3老,2010-11-03,3老, , , , , , ,2010-10-31,7老,2010-11-09,6老, , , , , , ,2010-10-26,8老,2011-04-29,6老, , , , , , 
芭芒,2011, , ,2011-09-14,5老, , ,2011-10-17,-6老,2011-10-25,-6老, , , , , , ,2011-10-23,-1老,2011-11-03,0老, , , , , , ,2011-10-03,-15老,2012-04-12,-11老, , , , , , 
芭芒,2012, , ,2012-09-18,9老, , ,2012-10-15,-8老,2012-10-23,-8老, , , , , , ,2012-10-11,-13老,2012-10-22,-12老, , , , , , ,2012-10-12,-6老,2013-04-13,-10老, , , , , , 
芭芒,2013, , ,2013-09-09,0老, , ,2013-10-16,-7老,2013-10-26,-5老, , , , , , ,2013-10-09,-15老,2013-10-24,-10老, , , , , , ,2013-10-26,8老,2014-04-14,-9老, , , , , , 
芭芒,2014, , ,2014-09-07,-2老, , ,2014-10-15,-8老,2014-10-24,-7老, , , , , , ,2014-10-14,-10老,2014-10-23,-11老, , , , , , ,2014-10-18,0老, , , , , , , , 
芭芒,2015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2015-10-26, 
芭芒,2016, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2016-11-03, 
芭芒,2017, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2017-10-27, 
芭芒,2018, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2018-10-30, 
巢秦,2004,2004-04-13,-10老,2004-09-17,4老, , ,2004-11-02,-5老,2004-11-09,-8老, , , , , , ,2004-11-06,-2老,2004-11-12,-6老, , , , , , ,2004-11-16,-2老,2005-03-20,5老, , , , , , 
巢秦,2005, , ,2005-09-20,7老, , ,2005-11-04,-3老,2005-11-17,0老, , , , , , ,2005-11-06,-2老,2005-11-18,0老, , , , , , ,2005-12-07,19老,2006-03-20,5老, , , , , , 
巢秦,2006,2006-05-01,8老,2006-09-14,1老, , ,2006-11-07,0老,2006-11-19,2老, , , , , , ,2006-11-10,2老,2006-11-22,4老, , , , , , ,2006-11-12,-6老,2007-04-03,19老, , , , , , 
巢秦,2007, , ,2007-09-14,1老, , ,2007-11-05,-2老,2007-11-14,-3老, , , , , , ,2007-11-07,-1老,2007-11-15,-3老, , , , , , ,2007-11-17,-1老,2008-04-01,17老, , , , , , 
巢秦,2008, , ,2008-09-08,-5老, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
剐剧,2004,2004-04-03,-11老,2004-09-02,-10老, , ,2004-10-27,-1老,2004-11-02,-2老, , , , , , ,2004-10-26,-1老,2004-11-03,0老, , , , , , ,2004-11-13,16老,2005-04-04,-6老,2004-10-20,0老, , ,2004-10-30,1老
剐剧,2005,2005-04-12,-2老,2005-09-07,-5老, , ,2005-10-21,-7老,2005-10-28,-7老, , , , , , ,2005-10-22,-5老,2005-10-29,-5老, , , , , , ,2005-10-23,-5老,2006-03-31,-10老,2005-10-14,-6老, , ,2005-10-25,-4老
剐剧,2006,2006-04-23,9老,2006-09-09,-3老, , ,2006-10-29,1老,2006-11-05,1老, , , , , , ,2006-11-01,5老,2006-11-07,4老, , , , , , ,2006-11-06,9老,2007-04-05,-5老,2006-10-18,-2老, , ,2006-10-31,2老
剐剧,2007, , ,2007-09-14,2老, , ,2007-11-03,6老,2007-11-07,3老, , , , , , ,2007-11-02,6老,2007-11-07,4老, , , , , , ,2007-11-04,7老,2008-04-25,15老,2007-10-26,6老, , ,2007-11-05,7老
剐剧,2008, , ,2008-09-13,1老, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
魂没,2004,2004-04-23,2老,2004-09-10,4老, , ,2004-11-04,7老,2004-11-09,6老, , , , , , ,2004-10-30,3老,2004-11-04,1老, , , , , , ,2004-10-23,-5老,2005-03-15,-25老,2004-10-12,1老, , ,2004-10-22,1老
魂没,2005,2005-04-27,6老,2005-09-15,9老, , ,2005-10-27,-1老,2005-11-02,-1老, , , , , , ,2005-10-24,-3老,2005-10-30,-4老, , , , , , ,2005-10-23,-5老,2006-03-31,-9老,2005-10-06,-5老, , ,2005-10-22,1老
魂没,2006, , ,2006-09-12,6老, , ,2006-10-14,-14老,2006-10-30,-4老, , , , , , ,2006-10-10,-17老,2006-10-25,-9老, , , , , , ,2006-11-08,11老,2007-04-10,1老,2006-10-25,14老, , ,2006-11-01,11老
魂没,2007, , ,2007-09-22,16老, , ,2007-11-02,5老,2007-11-10,7老, , , , , , ,2007-10-30,3老,2007-11-05,2老, , , , , , ,2007-11-07,10老,2008-03-27,-13老,2007-10-10,-1老, , ,2007-10-22,1老
魂没,2008, , ,2008-09-11,5老, , , , , , , , , , , , , , , , , , , , , , , , , , ,2008-10-08,-3老, , ,2008-10-20,-1老
柳林,2004,2004-03-28,-20老,2004-09-13,-4老, , ,2004-11-01,2老,2004-11-07,2老, , , , , , ,2004-10-28,-4老,2004-11-05,-2老, , , , , , ,2004-10-15,-12老,2005-04-17,6老, , , , , , 
柳林,2005,2005-04-15,-2老,2005-09-25,8老, , ,2005-10-29,-1老,2005-11-03,-2老, , , , , , ,2005-11-02,1老,2005-11-09,2老, , , , , , ,2005-10-23,-4老,2006-04-03,-8老, , , , , , 
柳林,2006,2006-04-14,-3老,2006-10-04,17老, , ,2006-11-01,2老,2006-11-06,1老, , , , , , ,2006-10-31,-1老,2006-11-03,-4老, , , , , , ,2006-11-07,11老,2007-04-10,-1老, , , , , , 
柳林,2007,2007-04-12,-5老,2007-09-28,11老, , ,2007-10-26,-4老,2007-11-05,0老, , , , , , ,2007-10-30,-2老,2007-11-07,0老, , , , , , ,2007-10-21,-6老,2008-04-25,14老, , , , , , 
柳林,2008, , ,2008-09-11,-6老, , ,2008-10-23,-7老,2008-11-05,0老, , , , , , ,2008-10-25,-7老,2008-11-04,-3老, , , , , , ,2008-11-17,21老,2009-04-02,-9老, , , , , , 
柳林,2009, , ,2009-09-22,5老, , ,2009-10-30,0老,2009-11-06,1老, , , , , , ,2009-11-04,3老,2009-11-09,2老, , , , , , ,2009-11-04,8老,2010-04-17,6老, , , , , , 
柳林,2010, , ,2010-09-24,7老, , ,2010-10-22,-8老,2010-11-01,-4老, , , , , , ,2010-10-25,-7老,2010-11-03,-4老, , , , , , ,2010-10-26,-1老,2011-04-13,2老, , , , , , 
柳林,2011, , ,2011-09-05,-12老, , ,2011-10-19,-11老,2011-10-28,-8老, , , , , , ,2011-10-27,-5老,2011-11-04,-3老, , , , , , ,2011-10-18,-9老,2012-04-02,-9老, , , , , , 
柳林,2012, , ,2012-09-24,7老, , ,2012-10-30,0老,2012-11-07,2老, , , , , , ,2012-11-07,6老,2012-11-10,3老, , , , , , ,2012-10-19,-8老,2013-04-15,4老, , , , , , 
柳林,2013, , ,2013-09-26,9老, , ,2013-10-25,-5老,2013-11-04,-1老, , , , , , ,2013-11-01,0老,2013-11-08,1老, , , , , , ,2013-10-26,-1老,2014-03-24,-18老, , , , , , 
柳林,2014, , ,2014-09-18,1老, , ,2014-10-13,-17老,2014-10-22,-14老, , , , , , ,2014-10-18,-14老,2014-10-24,-14老, , , , , , ,2014-10-17,-10老, , , , , , , , 
柳林,2016, , , , , , , , , , , , , , , , , , , , , , , , , , ,2016-11-02,6老, , , , , , , , 
芒盔,2004, , ,2004-09-14,0老, , ,2004-10-30,-1老,2004-11-07,-2老, , , , , , ,2004-10-29,-2老,2004-11-05,-5老, , , , , , ,2004-12-06,5老,2005-04-04,37老, , , , , , 
芒盔,2005, , ,2005-08-17,-28老, , ,2005-11-04,4老,2005-11-11,2老, , , , , , ,2005-11-04,4老,2005-11-10,0老, , , , , , ,2005-12-16,15老,2006-02-11,-15老, , , , , , 
芒盔,2006, , ,2006-09-10,-4老, , ,2006-11-17,17老,2006-11-26,17老, , , , , , ,2006-11-18,18老,2006-11-26,16老, , , , , , ,2006-12-03,2老,2007-03-07,9老, , , , , , 
