,Name,Brand,Categories,ABV,Rating,Rate Count,Price,Description
670,Knob Creek Rye Whiskey,Knob Creek,"Rye Whiskey, Whiskey",50.0,5.0,56,34.99,"Knob Creek® Rye is made in small batches, patiently aged in the deepest charred barrels and bottled at a full 100 proof to maintain its big flavor. It’s made of the highest quality rye which gives it a unique spicy, smooth flavor perfect for cocktails. Start with a classic Old Fashioned or just sip it neat or with ice.

Winner of Gold Medal at the 2016 SIP Awards & International Spirits Challenge"
671,Knob Creek Smoked Maple Bourbon Whiskey,Knob Creek,"Bourbon, Whiskey",45.0,5.0,38,34.99,"Sixth-generation distiller Booker Noe's quest for big flavor makes his bourbon even better with this smoked maple whiskey. Alive with smoked hickory and maple wood aroma and a hint of earthy grain, this blend has full-bodied, inviting maple notes that lift to smoke, complemented with rich vanilla and caramel flavors, finishing smoky, smooth, and slightly sweet. Enjoy Knob Creek® Smoked Maple neat, on the rocks, or in your favorite cocktail"
672,Knob Creek Single Barrel Bourbon Whiskey,Knob Creek,"Bourbon, Whiskey",60.0,4.7,21,49.99,"Knob Creek® Single Barrel Reserve encounters no detours or distractions. It’s just the big, pure flavor that Booker set out to create. Each barrel of Knob Creek® Single Barrel Reserve is bottled individually to become one-of-a-kind, meaning that each batch we handpick will have slight variations in taste, color, and aroma based on its final age, rack placement, and other proprietary methods passed down for seven generations."
673,Knob Creek Straight Bourbon 12 Year,Knob Creek,"Bourbon, Whiskey",50.0,5.0,10,64.99,"There’s no faking full bourbon flavor. It has to be earned. So that’s what we do in Clermont: we earn it. We start by selecting the finest grains. And we finish by meticulously aging our whiskey in white oak barrels with maximum char, for an unmistakable richness and signature sweetness. It’s the natural way. And there’s just no cheating nature."
674,Knob Creek Cask Strength Rye,Knob Creek,"Rye Whiskey, Whiskey",59.0,5.0,4,71.99,
675,Knob Creek Gift Set with Whiskey Stones,Knob Creek,"Bourbon, Whiskey",50.0,5.0,3,33.67,
676,Knob Creek 9 Year Whiskey (Molly’s Single Barrel),Knob Creek,"American Whiskey, Bourbon, Whiskey",40.0,5.0,1,43.99,
677,Knob Creek Twice Barreled Rye,Knob Creek,"Rye Whiskey, Whiskey",50.0,5.0,1,49.99,Knob Creek has taken its fully mature rye and put it into a second new charred oak barrel for a few months. This process imparts even more robust oak flavors on the whiskey.
678,Knob Creek Rye Single Barrel,Knob Creek,"Rye Whiskey, Whiskey",,5.0,1,46.99,"We first tasted this Rye Whiskey from the barrel at the Knob Creek 25th Anniversary event and absolutely fell in love. Higher in proof than the standard release and a few notches up in quality. Spicy and hot, but a fine neat sipper. This is the very first Knob Creek Rye Single Barrel to arrive in the state and we are proud to be the shop to launch it."
679,Knob Creek Small Batch Rye Whiskey,Knob Creek,"Rye Whiskey, Whiskey",50.0,5.0,1,33.46,"We select the highest-quality rye to create the World’s Best Rye 2016 IWSC. (2016 International Wine and Spirits Competition Best Rye Worldwide Whiskey)

COLOR
Shades of gold to light amber.

TASTE
Bold rye spiciness with undertones of vanilla and oak.

AROMA
Expansive notes of herbs and rye with nuances of oak."
680,Knob Creek Rye Whiskey Cocktail Kit Gift Set,Knob Creek,"Rye Whiskey, Whiskey",50.0,5.0,1,36.36,"The Perfect Cocktail Solution:

Introducing a pre-packaged cocktail solution containing everything you need to make the perfect Old Fashioned Cocktail.

Kit Includes:

-750mL of Knob Creek Rye Whiskey (100 Proof)
-8 oz. Jack Rudy Demerara Syrup
-8 oz. Jack Rudy Bourbon Cherries
-0.5 oz. Jack Rudy Aromatic Bitters"
681,Knob Creek 100 Gft Rye/9 Y/Mp/Sh Gl,Knob Creek,"Bourbon, Rye Whiskey, Whiskey",45.0,5.0,1,15.99,
682,Knob Creek 2001 Edition Bourbon Whiskey,Knob Creek,"Bourbon, Whiskey",50.0,5.0,1,139.99,"12,000 bottles, each clocking in at 100 proof, have been crafted of this more than 14 year old bourbon. The previously mentioned batches, in general, are said by distillery officials to have a taste with “complex oak and char notes with subtle vanilla and warm spice.” Beyond that, here is how each batch breaks down:

Batch 1 Description: Higher in sweet notes, vanilla and caramel, very smooth
Batch 2 Description: Higher in wood, oak notes and more astringent
Batch 3 Description: Mid-way between the other two batches but favors more of the woody notes"
683,Knob Creek 15 Year Bourbon Whiskey,Knob Creek,"Bourbon, Whiskey",50.0,5.0,1,119.99,"Knob Creek 15-Year-Old enters the stage as our most mature Knob Creek offering to date. After a decade and half of maturation, Knob Creek 15- Year-Old will entice the nose with delectable caramelized oak and luscious vanilla. Our bourbon will further soothe the palate with smooth caramel and toffee perfectly paired with toasted oak and light leather. Lastly Knob Creek- 15- Year-Old will finish with a warming spice joined by a slight floral bouquet. Join us on a journey, decades in the making, where only the best of the best barrels can claim a home to, Knob Creek 15- Year-Old. Because after all, true maturity comes with age."
684,Knob Creek Quarter Oak Straight Bourbon,Knob Creek,"Bourbon, Whiskey",50.0,5.0,1,54.99,"Knob Creek Quarter Oak is finished in quarter casks for four years--one fourth the size of traditional 52 gallon barrels. The increased surface area with the charred oak accelerates the aging process. The finished product is then blended with Knob Creek. 

On the nose, there are notes of brown sweets, char and toasted oak with hints of dried fruits. The palate is slightly sweet with heavy oak, background notes of char and dried fruits followed by a lingering dryness."
685,Knob Creek 25th Anniversary,Knob Creek,"Bourbon, Whiskey",,5.0,1,149.97,
686,Knob Creek Limited Edition Batch #2,Knob Creek,"Bourbon, Whiskey",50.0,5.0,1,154.99,
687,Knob Creek Bourbon & Rye Gift,Knob Creek,"Bourbon, Whiskey",,5.0,1,39.99,
688,Knob Creek Limited Edition Batch #1,Knob Creek,"Bourbon, Whiskey",50.0,5.0,1,157.99,Higher in its sweet notes with vanilla and caramel all the way through.
689,Knob Creek Limited Edition Batch #3,Knob Creek,"Bourbon, Whiskey",50.0,5.0,1,149.99,"Knob Creek 2001 Limited Edition Bourbon commemorates a significant year for Knob Creek, as late in 2001, the tradition and responsibility of stewarding Knob Creek Bourbon was passed from Booker to Fred – from father to son. This release, made from barrels that Booker laid down in 2001, was finished by Fred Noe in honor of all he learned from his father and stays true to the pre-prohibition standards that Booker sought to restore when he introduced Knob Creek Bourbon. Bottled at 100 Proof and aged for 14 years, longer than any other Knob Creek release to date, this bourbon has an even bigger, fuller flavor that what Knob Creek fans have come to love. It will be released in three limited batches, each accentuating distinct notes of the 14 year-old liquid. Deep golden amber. Robust oak and char notes balanced by sweet vanillas and caramels with a hint of warm brown spice. Complex oak char notes with subtle vanilla and warm spice. Batch Three: Mid-way between Batch 1 and Batch 2, slightly favoring notes of wood."
690,Knob Creek  Bourbon Whiskey with Flask,Knob Creek,"Bourbon, Whiskey",50.0,5.0,1,32.99,
691,Knob Creek Bourbon Whiskey with Hot & Cold Glass,Knob Creek,"Bourbon, Whiskey",50.0,5.0,1,34.99,
692,Knob Creek Kentucky Straight Bourbon Whiskey Gift,Knob Creek,"Bourbon, Whiskey",,5.0,1,34.99,
693,Buffalo Trace Bourbon,Buffalo Trace,"Bourbon, Whiskey",45.0,4.9,271,31.99,"Ancient buffalo carved paths through the wilderness that led American pioneers and explorers to new frontiers. One such trail led to the banks of the Kentucky River where Buffalo Trace Distillery has been making bourbon whiskey the same way for more than 200 years. In tribute to the mighty buffalo and the rugged, independent spirit of the pioneers who followed them, we created our signature Buffalo Trace Kentucky Straight Bourbon Whiskey.

Buffalo Trace Kentucky Straight Bourbon Whiskey is distilled, aged and bottled at the most award-winning distillery in the world. Made from the finest corn, rye and barley malt, this whiskey ages in new oak barrels for years in century old warehouses until the peak of maturity. The taste is rich and complex, with hints of vanilla, toffee and candied fruit. The smooth finish lingers on the palate. This will never change.

TASTING NOTES
This deep amber whiskey has a complex aroma of vanilla, mint and molasses. Pleasantly sweet to the taste with notes of brown sugar and spice that give way to oak,  toffee, dark fruit and anise. This whiskey finishes long and smooth with serious depth.

RATINGS
Wine Enthusiast rating: 93 

REVIEWS
""One of the world's great whiskeys."" Jim Murray, Whisky Magazine

AWARDS
2019 Gold Medal; 91 points - Beverage Testing Institute
2019 Silver Medal - New York World Spirits Competition
2019 Silver Outstanding - Whiskies of the World
2019 Double Gold Medal - North American Bourbon & Whiskey Competition
2019 Gold Medal - Los Angeles International Spirits Competition
2019 Gold Medal - American Whiskey Masters
2019 Silver Medal - San Francisco World Spirits Competition
2019 Silver Medal - Denver International Spirits Competition
2018 Gold Medal - New York International Spirits Competition
2018 Gold Medal - The American Whiskey Masters
2018 Silver Medal - North American Bourbon & Whiskey Competition
2018 Silver Medal - International Spirits Challenge
2018 Gold Medal - Los Angeles International Spirits Competition
2018 Gold Medal - San Francisco World Spirits Competition
2018 ""Excellent; Highly Recommended"" - 92 points - Ultimate Spirits Challenge
2018 Silver Medal - Denver International Spirits Competition
2017 Double Gold Medal - New York World Wine & Spirits Competition
2017 Gold Medal - The American Whiskey Masters
2017 Gold Medal - World Whisky Masters
2017 Silver Outstanding Medal - International Wine & Spirits Competition
2017 Silver Medal - North American Bourbon & Whiskey Competition
2017 Gold Medal - 90 points - Los Angeles International Spirits Competition
2017 Silver Medal - International Spirits Challenge
2017 Silver Medal - San Francisco World Spirits Competition
2017 ""Great Value"" - 94 points - Ultimate Spirits Challenge
2017 Gold Medal - Denver International Spirits Competition
2016 Gold Medal - The American Whiskey Masters
2016 Gold Medal - The World Whisky Masters
2016 Gold Medal, 93 points - Beverage Testing Institute
2016 The Washington Cup - The Washington Cup Spirits Competition
2016 Gold Medal - New York World Wine & Spirits Competition
2016 Silver Medal - International Wine & Spirits Competition
2016 Best of Category / Gold Medal (93 points) - Los Angeles International Spirits Competition
2016 88 points - Ultimate Spirits Challenge
2016 Silver Medal - Denver International Spirits Competition
2016 Silver Medal - North American Bourbon & Whisky Competition
2016 Double Gold Medal, BEST STRAIGHT BOURBON - San Francisco World Spirits Competition
2016 Double Gold Medal - The Fifty Best Bourbon Whiskeys
2015 Silver Medal - Spirits of the Americas
2015 Silver Outstanding Medal - Whiskies of the World
2015 Washington Cup - The Washington Cup Spirits Competition
2015 Silver Medal - New York World Wine & Spirits Competition
2015 Silver Outstanding Medal - International Wine & Spirits Competition
2015 Double Gold Medal; Best of Class (Bourbon) - North American Bourbon & Whiskey Competition
2015 Best of Category / Gold Medal (95 points) - Los Angeles International Spirits Competition
2015 ""5 Stars"" - BevX.com
2015 Gold Medal - San Francisco World Spirits Competition
2015 BTI International Review of Spirits - ""Exceptional"" - 94 points
2015 Gold Medal, Best Bourbon - No Age Statement - World Whiskies Awards
2015 Gold Medal - The Fifty Best Bourbon Whiskeys
2015 ""Great Value;"" ""Tried & True"" - 92 points - Ultimate Spirits Challenge
2015 Silver Medal - Denver International Spirits Competition
2014 Double Gold Medal - New York World Wine & Spirits Competition
2014 Gold Medal - International Wine & Spirits Competition
2014 Silver Medal - Los Angeles International Wine & Spirits Competition
2013 Silver Medal - International Wine & Spirits Competition
2013 Bronze Medal - Los Angeles International Wine & Spirits Competition
2013 Silver Medal - San Francisco World Spirits Competition
2013 Excellent/Strong Recommendation; Finalist/Chairman's Trophy; Great Value - Ultimate Spirits Challenge
2013 Gold Medal - Best Bourbon - The Fifty Best
2012 Double Gold Medal - San Francisco World Spirits Competition
2012 Double Gold Medal - Best Bourbon in Show - New York World Wine & Spirits Competition
2012 Excellent/Strong Recommendation - Ultimate Spirits Challenge
2012 Gold Medal - Best in Category - Los Angeles International Wine & Spirits Competition
2012 Silver Outstanding Medal - International Wine & Spirits Competition
2012 Washington Cup Winner, Silver - The Washington Cup Spirits Competition
2012 Liquid Gold Award - 96 points - Jim Murray's 2013 Whisky Bible
2012 BTI International Review of Spirits - 93 points
2012 Ramsay's Dram Hogmanay Award (The ""Hoggies"")
2011 Excellent/Strong Recommendation - Ultimate Spirits Challenge
2011 Silver Medal - San Francisco World Spirits Competition
2011 Silver Medal - Los Angeles International Wine & Spirits Competition
2011 Silver Medal - International Wine & Spirits Competition
2010 Excellent/Strong Recommendation - Ultimate Spirits Challenge
2010 Silver Medal - San Francisco World Spirits Competition
2010 Silver Medal - International Wine & Spirits Competition
2010 Silver Medal - Los Angeles International Wine & Spirits Competition
2009 Double Gold Medal - San Francisco World Spirits Competition
2009 Double Gold Medal - Best of Category (Straight Bourbon - Los Angeles International Wine & Spirits Competition
2009 Silver Medal - International Wine & Spirits Competition
2009 Bronze Medal in PACKAGING (Graphics) - Los Angeles International Wine & Spirits Competition
2008 Gold Medal - Los Angeles International Wine & Spirits Competition
2008 Bronze Medal - San Francisco World Spirits Competition
2008 Bronze Medal - International Wine & Spirits Competition
2007 Gold Medal - San Francisco World Spirits Competition
2006 Gold Medal - San Francisco World Spirits Competition
2005 Silver Medal - San Francisco World Spirits Competition
2005 Silver Medal - International Wine & Spirits Competition
2005 Silver Medal - International Spirits Challenge
2004 Gold Medal - Exceptional - International Review of Spirits Award
2004 Gold Medal - San Francisco World Spirits Competition
2004 Silver Medal - International Wine & Spirits Competition
2004 Silver Medal - International Spirits Challenge
2003 Gold Medal - Exceptional - Beverage Testing Institute
2003 Gold Medal - Beverage Testing Institute
2003 Gold Medal - International Review of Spirits Award
2003 Silver Medal - San Francisco World Spirits Competition
2003 Silver Medal - International Spirits Challenge
2003 Seal of Approval - International Spirits Challenge
2003 Commended - International Wine & Spirits Competition
2002 Bronze Medal - International Wine & Spirits Competition
2002 Seal of Approval - International Spirits Challenge
2001 Bronze Medal - San Francisco World Spirits Competition
2001 Bronze Medal - International Spirits Challenge
2000 Gold Medal - San Francisco World Spirits Competition
2000 Bronze Medal - San Francisco World Spirits Competition"
694,Buffalo Trace White Dog Mash #1,Buffalo Trace,"Bourbon, Whiskey",62.5,4.6,29,17.59,"In Kentucky, buffalo carved a pathway followed by America’s first explorers. Those brave pioneers distilled whiskey using traditional methods and drank it right off the still. They called it White Dog. This raw distillate was clear, un-aged and had a hint of sweet corn. Later distillers discovered this spirit was perfect for aging - creating what we know today as fine Kentucky Straight Bourbon Whiskey. We’re still making whiskey on the spot where ancient buffalo once crossed the Kentucky River and following centuries of time-honored distilling tradition. Enjoy this White Dog the way Americans did more than 200 years ago."
695,Buffalo Trace Kosher Wheat Recipe,Buffalo Trace,"Bourbon, Whiskey",,4.5,20,73.49,
696,Eagle Rare Buffalo Trace Antique Collection Bourbon 17 Year,Buffalo Trace,"Bourbon, Whiskey",50.5,4.6,15,1297.97,"Distilled in the spring of 2002, this bourbon matured on the first floor of warehouse P. Like last year, it’s bottled at 101 proof, where it will remain going forward."
697,Buffalo Trace Experimental Collection,Buffalo Trace,"Bourbon, Whiskey",45.0,5.0,5,69.99,"Buffalo Trace began experimenting with recipes and barrel treatments over two decades ago. Each barrel is made is unique with slight experimental changes in the mash bill, types of wood, barrel toasts, etc."
698,Buffalo Trace Kosher Kentucky Straight Rye Whiskey,Buffalo Trace,"Rye Whiskey, Whiskey",47.0,5.0,1,79.99,"The Chicago Rabbinical Council (cRc) partnered with Buffalo Trace Distillery to make this batch of Straight Rye Whiskey. Distilled from the same high quality grains as other straight rye whiskeys from Buffalo Trace, this Kosher spirt was aged in specifically designated Kosher barrels. In order to satisfy Passover requirements, these barrels were sold to a non-Jewish executive in a ceremony witnessed by a representative from the cRc. After aging for seven years, this Straight Rye Whiskey was bottled at 94 proof. The bottling lines were completely cleaned beforehand and no contact was made with non-Kosher spirits. Released after Passover each yea, this Straight Rye Whiskey is big and brash, honoring the spirit of America’s oldest continually-operating distillery."
699,Buffalo Trc White Dog Str Rye,Buffalo Trace,"Rye Whiskey, Whiskey",62.5,5.0,1,17.99,
700,E.H. Taylor Four Grain 100 Proof Bourbon,Buffalo Trace,"Bourbon, Whiskey",50.0,5.0,1,85.99,"Distilled with a four grain mash, this delicate bourbon has a flavor that is sweet with hints of caramel and vanilla, yet spicy with notes of clove and pepper. Flavors of caramel, vanilla and spice will provide an exciting journey while experiencing this 12 year old offering."
701,Buffalo Trace Private Barrel,Buffalo Trace,"Bourbon, Whiskey",45.0,5.0,1,32.99,
702,Buffalo Trace Millennium Barrel Project,Buffalo Trace,"Bourbon, Whiskey",45.0,5.0,1,2999.99,"The Millennium Barrel Bourbon was the last bourbon barrel of the twentieth century filled on December 31, 1999 by Buffalo Trace Distillery and set to age in the Distillery's warehouse V, the world's only bonded single barrel aging warehouse. 

In June of 2011, the company bottled this single barrel of whiskey, which yielded 174 handwritten and individually numbered bottles. Each Millennium Barrel bottle was packaged in a numbered hardwood showcase box that includes a piece of the historic barrel's charred oak stave. Buffalo Trace Distillery then offered all 174 bottles to non-profit organizations wishing to raise funds for their charity.

Altogether, $152,557 dollars were raised for needy organizations all the way from New York to California. Organizations supporting child care, senior care, Red Cross, the Ronald McDonald House, Humane Societies, Big Brothers/Big Sisters, Wildlife Centers, and many more were able to benefit from the once-in-a-lifetime opportunity. 

Some of the top fundraising organizations found resourceful ways to make the most of their piece of history. The Indiana State University Foundation, based in Terre Haute, was the top fundraiser with $7,000 raised. To do this, they got creative with a trip to Kentucky, tour of bourbon country, and visit to Buffalo Trace Distillery in Frankfort. At the end of their evening, their Buffalo Trace tour guide drew the winning name for the Millennium Barrel bottle. The group consisted of alumni and friends of Indiana State University. The cost per participant covered the travel and expenses and entry into the drawing for the Millennium Barrel bottle. 

The Preble County Historical Society in Ohio raised $4,100 by offering an exclusive whiskey tasting, followed by a first-class dinner. 

""We're thrilled so many deserving organizations benefited from our Millennium Barrel,"" said Kris Comstock, bourbon brand manager. ""To help raise over $150,000 for worthwhile causes feels wonderful."""
703,Buffalo Trace Bourbon Barrel,Buffalo Trace,"Bourbon, Whiskey",,5.0,1,,
704,Buffalo Trace Bourbon Barrel J & J Package,Buffalo Trace,"Bourbon, Whiskey",,5.0,1,,
705,Buffalo Trace Bourbon Barrel Evergreen,Buffalo Trace,"Bourbon, Whiskey",,5.0,1,,
706,Buffalo Trace Bourbon Barrel Cwb,Buffalo Trace,"Bourbon, Whiskey",,5.0,1,,
707,Buffalo Trace Bourbon Barrel Prch Sigels,Buffalo Trace,"Bourbon, Whiskey",,5.0,1,,
708,Old Charter Oak Canadian Oak Bourbon,Buffalo Trace,"Bourbon, Whiskey",,5.0,1,299.99,"Along the southeastern border of this megaforest grows Quercus alba, the white oak. It’s a different beast than the American oaks that share the name. Even among the same species—the same forest, even—each tree is unique. And Canada’s massive forests and unique climate have shaped Quercus alba into a tree all its own.

To compare: the American white oaks harvested and used in whiskey barrels across the world tend to come from forests that stretch from the Great Lakes to Tennessee, and from the Mississippi to the Atlantic. It’s an area with long growing seasons and hot, humid summers. In those conditions, the oaks grow fast, leading to a wider-grained wood that, when made into barrels, readily shares its flavors with the whiskey that ages within.
"
709,Buffalo Trace Bourbon Barrel Pr Stndrd Pr,Buffalo Trace,"Bourbon, Whiskey",,5.0,1,,
710,Buffalo Trace Bourbon Barrel Pf & Pantry,Buffalo Trace,"Bourbon, Whiskey",,5.0,1,,
711,Buffalo Trace Bourbon Barrel Thrdbas,Buffalo Trace,"Bourbon, Whiskey",,5.0,1,,
712,Buffalo Trace Bourbon Barrel Twins,Buffalo Trace,"Bourbon, Whiskey",,5.0,1,,
713,Buffalo Trace Bourbon Barrel Pr Nman Mrcs,Buffalo Trace,"Bourbon, Whiskey",,5.0,1,,
714,Buffalo Trace Bourbon Barrel Twin Peaks,Buffalo Trace,"Bourbon, Whiskey",,5.0,1,,
763,Corsair Triple Smoke American Single Malt Whiskey,Corsair Distillery,"American Whiskey, Whiskey",40.0,5.0,1,49.49,"93 points - We take three fractions of malted barley, each smoked by a different fuel – cherry wood, peat, and beechwood – to craft this deeply complex whiskey. Pot distilled then barreled in new charred oak, Triple Smoke has the sweetness and barrel notes of an American Whiskey and a single malt’s rich smoke, broadened by tones of cherry and beech. Excellent mixed or neat"
764,Corsair Quinoa Whiskey,Corsair Distillery,"American Whiskey, Whiskey",46.0,5.0,1,55.99,"AMERICAN WHISKEY POT DISTILLED FROM QUINOA AND MALTED BARLEY    Quinoa is a South American grain crop grown for its seeds. Quinoa adds an earthy and nutty flavor to the whiskey. Quinoa seeds comes in red, white, and black varieties. This whiskey uses red and white quinoa grains."
765,Corsair Citra IPA,Corsair Distillery,"American Whiskey, Whiskey",46.0,5.0,1,51.99,Corsair Citra Double IPA American Malt Whiskey pot distilled with Citra Hops is housed in a 750ml bottle at 46.0%ABV Batch 2 Bottle 300/535
766,Corsair Galaxy Hop,Corsair Distillery,"American Whiskey, Whiskey",46.0,5.0,1,59.99,"Corsair Centennial Malt Whiskey is a whiskey distilled from malted barley and flavored with hops. Our ""experiments and tasting competitions taught us that Centennial hops were some of the best hops possible,"" says Bell. Centennial Hops were first created in 1974 and boast an alpha acid rating of 9.5%-11.5%, resulting in a slightly floral flavor profile that is ideal for making pale ales and India pale ales. After Corsair Centennial Malt Whiskey is distilled with the hops, it is aged in new, American oak casks until it reaches its peak flavor. As a result, the whiskey has a sweet aroma, with touches of rose petals and orange zest. Notes of caramelized oranges and sweet malt dominate the flavor profile, and lead to a finish accented by balanced hops and sweet citrus.    Corsair Galaxy Malt Whiskey is also distilled from malted barley, but is flavored with Galaxy hops rather than Centennial hops. Bred in 1994, Galaxy hops are an Australian high alpha dual purpose triploid varietal often used to produce beers such as IPAs. The hops have an aroma of grapefruit and intense citrus, and contribute slightly milder notes of tropical fruits to the whiskey. Following distillation, Corsair Galaxy Whiskey is also aged in new, American oak casks.    Corsair Rasputin Hopped Whisky is also crafted with malted barley, and is flavored with Rasputin hops before being matured in American oak casks. Rasputin hops are often used to craft beers such as stouts, and produce a slightly darker and more grainy flavor profile. As a result, Corsair Rasputin Hopped Whisky has a malty aroma, with hints of pale ale, dark caramel and mint. The aroma gives way to notes of oak, whipped cream and a hint of bananas.    ""We are a small distillery, but we have big dreams,"" says Bell. ""Our goal from day one has been to distill the best whiskey in the world,""he adds, noting that Corsair has won 74 different medals in the past six years."
767,Corsair Buck Yeah,Corsair Distillery,"American Whiskey, Whiskey",46.0,5.0,1,52.99,"This seasonally available whiskey is made with buckwheat and Victory Malt to emulate the nutty and floral characteristics of buckwheat.  As with all our whiskeys, it is produced 100% in house, non-chill filtered, has no added colors or flavors and is aged in small 15 and 30 gallon barrels.   Please note that this product has been retired.  Therefore if you are luck enough to find a bottle, grab it - it will be impossible to find in the near future."
768,Corsair Old Punk Pumpkin Spiced Whiskey,Corsair Distillery,"American Whiskey, Whiskey",46.0,5.0,1,46.99,"The nose has a subtle pumpkin aroma, along with mild ginger, cinnamon, and dark chocolate notes. The taste is fiery and spicy with cinnamon, pumpkin pie, and a touch of dark chocolate that comes in at the end. The finish is light and lingering with subtle pumpkin and a nice spiciness."
769,Corsair Ryemageddon,Corsair Distillery,"Rye Whiskey, Tennessee Whiskey, Whiskey",46.0,5.0,1,49.99,"91 points - Corsair ""Ryemageddon"" is distilled from 80% malted rye and 20% chocolate rye. Pot distilled and then barreled in new charred oak, ""Ryemageddon"" has a spicy nose with dark cocoa notes: freshly baked rye bread and sweet mint."
770,Corsair Wry Moon Unaged Rye Whiskey,Corsair Distillery,"Rye Whiskey, Whiskey",46.0,5.0,1,35.49,"Unaged Rye Whiskey - Please note that this product has been retired.  If you are lucky enough to find a bottle, pick it up because it will be impossible to find in the future."
771,Corsair Dark Rye American Rye Malt Whiskey,Corsair Distillery,"Rye Whiskey, Whiskey",42.5,5.0,1,,"91 Points - 61% Malted rye, 4% malted chocolate rye, and 35% malted barley make up the grain bill of this rich, delicious whiskey.  Unlike many other rye whiskeys, we do not use corn to fill up our grain bill, choosing instead malted barley which means Corsair Dark Rye is technically both a rye whiskey and a malt whiskey.  This produces exceptionally smooth rye whiskey with chocolate, coffee and spice instead of green notes common in most ryes"
772,Corsair Triple Smoke American Single Malt Whiskey new pack,Corsair Distillery,"Single Malt Whiskey, Whiskey",40.0,5.0,1,,"93 Points - Whisky Advocate’s Artisan Whiskey of the Year - The whiskey that put us on the map.  We use three individually smoked malts (cherrywood from Wisconsin, beechwood from Germany, and peat from Scotland) to craft this deep and complex whiskey.   Using 3 distinct smokes provides consistent and balanced smoke from nose to the pallet and throughout the finish."
773,Corsair Pumpkin Special Moonshine,Corsair Distillery,"Whiskey, White Whiskey  Moonshine",50.0,5.0,1,39.99,
774,Corsair Mosaic,Corsair Distillery,"Bourbon, Whiskey",46.0,5.0,1,59.98,"Distilled from malted barley and flavored with hops, this limited edition whiskey represents a new experiment from one of the most adventurous craft distilleries."
775,Corsair Wildfire Smoked Malt Whiskey,Corsair Distillery,"Single Malt Whiskey, Whiskey",50.0,5.0,1,52.99,"WILDFIRE is our very first “grain to glass” whiskey, with barley grown, malted, and smoked at our farm in Bell’s Bend, nestled in the woods of rural Tennessee. Wildfi re is 100% hickory-smoked, which gives it a unique flavor profile (reminicent of BBQ and cured meat smoke) and velvety mouthfeel. It was introduced to our product line in 2015 and has quickly become one of our most popular whiskeys.  Please note that this product has been retired from production - if you are lucky enough to find a bottle pick it up as it will be impossible to find in the near future."
776,Corsair Oatrage,Corsair Distillery,"Bourbon, Whiskey",55.0,5.0,1,52.99,"Why make just plain oat whiskey when it can be oat-rageous? Here, Corsair Master Distiller Darek Bell used malted oats, coffee malt (typically used for beer brewing) and 6-row barley in the mash bill. It's distilled twice and ager several months in new charred oak."
777,Corsair Grainiac,Corsair Distillery,"Bourbon, Whiskey",46.0,5.0,1,51.99,"For this 9 grain bourbon, we take the fairly standard bourbon grain bill of corn, rye, wheat and barley but add buckwheat, triticale, spelt, oats and quinoa for a greater complexity.  The oats and buckwheat add more mouthfeel, while the quinoa, spelt and triticale add a nutty and earthy component to the taste profile.  WINNER OF THE TOP AWARD, BEST IN CLASS ARTISAN DISTILLED WHISKEY AND A GOLD MEDAL AT THE AMERICAN DISTILLING INSTITUTE AWARDS IN 2012.  Please note that this product has been retired from production.  If you are luck enough to find a bottle, pick it up - it will be impossible to find in the future."
778,Willett Pot Still Reserve Bourbon,Willett,"Bourbon, Whiskey",47.0,5.0,34,50.99,"Willett Pot Still Reserve Bourbon was introduced in 2008 and is a hand-selected, limited x Kentucky straight Bourbon, aged 8-10 years and bottled at 47% ABV. It comes in one of the coolest decanters on the market. The Willett Distilling Company or Kentucky Bourbon Distillers, as it is also known, is a small, family-owned company that markets Bourbon and Rye Whiskey. They’re located in Bardstown, Kentucky. As a relatively large independent bottling company, they’re called the big daddy of Bourbon and Rye Bottling."
779,Willett Family Estate Bottled Rye 4 Year,Willett,"Rye Whiskey, Whiskey",55.0,5.0,3,69.42,"Beautiful layering of brandied cherry over a mildly tart cherry on the nose. It opens up with time and is reminiscent of cutting into your dessert with your fork which releases cinnamon and baking spices with just a hint of oak. A robust rye with dark cherry, burnt vanilla, and spices for days. It's a delicious rye with a weighty mouthfeel. The finish is long and the spices dominate, while the cherry does punch its way through to the surface. The Willett Distilling Company or Kentucky Bourbon Distillers, as it is also known, is a small, family-owned company that markets Bourbon and Rye Whiskey. They’re located in Bardstown, Kentucky. As a relatively large independent bottling company, they’re called the big daddy of Bourbon and Rye Bottling."
780,Willett Indiana Rye 6 Year,Willett,"Rye Whiskey, Whiskey",,5.0,3,,"The Willett Family had already been distilling in Kentucky since the late 1800's, almost 100 years before Aloysius Lambert Thompson Willett founded the Willett Distilling Company in Bardstown. After decades of production under the Willett family, descendants from the Kulsveen branch took over in 1984 and formed Kentucky Bourbon Distillers. The Kulsveens maintain ownership and management to this day along with the Chavannes who joined the business in 2003 prior to a major renovation of the facility that wrapped up in 2012. The new generation will certainly build on the great reputation achieved by their historical brands: Johnny Drum, Old Bardstown, Rowan's Creek, Noah's Mill, Rowan's Creek, and Willett. Their 6 Year, rare edition Rye is distilled from 95% Rye and 5% malted Barley in neighboring Indiana but aged and bottled in Kentucky. The finished product is non-chill filtered and bottled at cask strength of nearly 110 Proof."
781,Willett Cask Strength 7 Year Rye,Willett,"American Whiskey, Rye Whiskey, Whiskey",,5.0,1,90.49,
